"","short_id","which_method","rating_cvd","ordered"
"1","94513","mv",4,TRUE
"2","94513","cav",4,TRUE
"3","94513","sv",4,TRUE
"4","94513","mbc",2,TRUE
"5","11172","mv",4,TRUE
"6","11172","cav",4,TRUE
"7","11172","sv",4,TRUE
"8","11172","mbc",4,TRUE
"9","16944","mv",0,TRUE
"10","16944","cav",1,TRUE
"11","16944","sv",4,TRUE
"12","16944","mbc",3,TRUE
"13","23757","mv",0,TRUE
"14","23757","cav",2,TRUE
"15","23757","sv",4,TRUE
"16","23757","mbc",3,TRUE
"17","92296","mv",1,TRUE
"18","92296","cav",3,TRUE
"19","92296","sv",3,TRUE
"20","92296","mbc",3,TRUE
"21","36475","mv",1,TRUE
"22","36475","cav",3,TRUE
"23","36475","sv",2,TRUE
"24","36475","mbc",3,TRUE
"25","71632","mv",0,TRUE
"26","71632","cav",3,TRUE
"27","71632","sv",4,TRUE
"28","71632","mbc",3,TRUE
"29","laura","mv",2,TRUE
"30","laura","cav",3,TRUE
"31","laura","sv",3,TRUE
"32","laura","mbc",3,TRUE
"33","98245","mv",3,TRUE
"34","98245","cav",3,TRUE
"35","98245","sv",4,TRUE
"36","98245","mbc",3,TRUE
"37","83792","mv",1,TRUE
"38","83792","cav",1,TRUE
"39","83792","sv",3,TRUE
"40","83792","mbc",4,TRUE
"41","61731","mv",1,TRUE
"42","61731","cav",2,TRUE
"43","61731","sv",4,TRUE
"44","61731","mbc",3,TRUE
"45","58393","mv",3,TRUE
"46","58393","cav",1,TRUE
"47","58393","sv",3,TRUE
"48","58393","mbc",3,TRUE
"49","73863","mv",3,TRUE
"50","73863","cav",1,TRUE
"51","73863","sv",4,TRUE
"52","73863","mbc",1,TRUE
"53","53659","mv",3,TRUE
"54","53659","cav",3,TRUE
"55","53659","sv",3,TRUE
"56","53659","mbc",3,TRUE
"57","13886","mv",3,TRUE
"58","13886","cav",4,TRUE
"59","13886","sv",4,TRUE
"60","13886","mbc",3,TRUE
"61","35882","mv",0,TRUE
"62","35882","cav",3,TRUE
"63","35882","sv",4,TRUE
"64","35882","mbc",2,TRUE
"65","38577","mv",0,TRUE
"66","38577","cav",2,TRUE
"67","38577","sv",3,TRUE
"68","38577","mbc",3,TRUE
"69","71841","mv",1,TRUE
"70","71841","cav",3,TRUE
"71","71841","sv",4,TRUE
"72","71841","mbc",4,TRUE
"73","54392","mv",1,TRUE
"74","54392","cav",3,TRUE
"75","54392","sv",3,TRUE
"76","54392","mbc",4,TRUE
"77","95499","mv",2,TRUE
"78","95499","cav",2,TRUE
"79","95499","sv",4,TRUE
"80","95499","mbc",4,TRUE
"81","55617","mv",3,TRUE
"82","55617","cav",1,TRUE
"83","55617","sv",4,TRUE
"84","55617","mbc",3,TRUE
"85","92711","mv",1,TRUE
"86","92711","cav",3,TRUE
"87","92711","sv",3,TRUE
"88","92711","mbc",1,TRUE
"89","31326","mv",1,TRUE
"90","31326","cav",3,TRUE
"91","31326","sv",4,TRUE
"92","31326","mbc",4,TRUE
"93","97359","mv",1,TRUE
"94","97359","cav",3,TRUE
"95","97359","sv",4,TRUE
"96","97359","mbc",4,TRUE
"97","36553","mv",3,TRUE
"98","36553","cav",2,TRUE
"99","36553","sv",1,TRUE
"100","36553","mbc",3,TRUE
"101","75682","mv",0,TRUE
"102","75682","cav",2,TRUE
"103","75682","sv",3,TRUE
"104","75682","mbc",3,TRUE
"105","28655","mv",0,TRUE
"106","28655","cav",4,TRUE
"107","28655","sv",2,TRUE
"108","28655","mbc",3,TRUE
"109","15457","mv",4,TRUE
"110","15457","cav",4,TRUE
"111","15457","sv",4,TRUE
"112","15457","mbc",2,TRUE
"113","37248","mv",2,TRUE
"114","37248","cav",3,TRUE
"115","37248","sv",2,TRUE
"116","37248","mbc",4,TRUE
"117","35924","mv",3,TRUE
"118","35924","cav",1,TRUE
"119","35924","sv",4,TRUE
"120","35924","mbc",3,TRUE
"121","14969","mv",0,TRUE
"122","14969","cav",1,TRUE
"123","14969","sv",4,TRUE
"124","14969","mbc",2,TRUE
"125","14877","mv",3,TRUE
"126","14877","cav",4,TRUE
"127","14877","sv",3,TRUE
"128","14877","mbc",1,TRUE
"129","42198","mv",1,TRUE
"130","42198","cav",2,TRUE
"131","42198","sv",4,TRUE
"132","42198","mbc",3,TRUE
"133","37612","mv",4,TRUE
"134","37612","cav",4,TRUE
"135","37612","sv",4,TRUE
"136","37612","mbc",1,TRUE
"137","68468","mv",0,TRUE
"138","68468","cav",1,TRUE
"139","68468","sv",4,TRUE
"140","68468","mbc",3,TRUE
"141","14815","mv",3,TRUE
"142","14815","cav",2,TRUE
"143","14815","sv",4,TRUE
"144","14815","mbc",3,TRUE
"145","91517","mv",1,TRUE
"146","91517","cav",3,TRUE
"147","91517","sv",3,TRUE
"148","91517","mbc",3,TRUE
"149","31121","mv",1,TRUE
"150","31121","cav",3,TRUE
"151","31121","sv",4,TRUE
"152","31121","mbc",4,TRUE
"153","32968","mv",4,TRUE
"154","32968","cav",4,TRUE
"155","32968","sv",4,TRUE
"156","32968","mbc",3,TRUE
"157","76925","mv",1,TRUE
"158","76925","cav",3,TRUE
"159","76925","sv",1,TRUE
"160","76925","mbc",4,TRUE
"161","47328","mv",3,TRUE
"162","47328","cav",3,TRUE
"163","47328","sv",2,TRUE
"164","47328","mbc",2,TRUE
"165","56745","mv",3,TRUE
"166","56745","cav",2,TRUE
"167","56745","sv",2,TRUE
"168","56745","mbc",1,TRUE
"169","66974","mv",1,TRUE
"170","66974","cav",2,TRUE
"171","66974","sv",4,TRUE
"172","66974","mbc",4,TRUE
"173","89179","mv",0,TRUE
"174","89179","cav",0,TRUE
"175","89179","sv",4,TRUE
"176","89179","mbc",4,TRUE
"177","54636","mv",1,TRUE
"178","54636","cav",2,TRUE
"179","54636","sv",3,TRUE
"180","54636","mbc",3,TRUE
"181","53718","mv",2,TRUE
"182","53718","cav",3,TRUE
"183","53718","sv",3,TRUE
"184","53718","mbc",4,TRUE
"185","23752","mv",4,TRUE
"186","23752","cav",4,TRUE
"187","23752","sv",3,TRUE
"188","23752","mbc",4,TRUE
"189","93478","mv",3,TRUE
"190","93478","cav",2,TRUE
"191","93478","sv",2,TRUE
"192","93478","mbc",2,TRUE
"193","57574","mv",1,TRUE
"194","57574","cav",3,TRUE
"195","57574","sv",3,TRUE
"196","57574","mbc",1,TRUE
"197","49227","mv",3,TRUE
"198","49227","cav",3,TRUE
"199","49227","sv",4,TRUE
"200","49227","mbc",2,TRUE
"201","77768","mv",3,TRUE
"202","77768","cav",0,TRUE
"203","77768","sv",0,TRUE
"204","77768","mbc",4,TRUE
"205","81279","mv",1,TRUE
"206","81279","cav",4,TRUE
"207","81279","sv",3,TRUE
"208","81279","mbc",2,TRUE
"209","54932","mv",1,TRUE
"210","54932","cav",1,TRUE
"211","54932","sv",4,TRUE
"212","54932","mbc",3,TRUE
"213","81267","mv",3,TRUE
"214","81267","cav",4,TRUE
"215","81267","sv",3,TRUE
"216","81267","mbc",2,TRUE
"217","62174","mv",0,TRUE
"218","62174","cav",3,TRUE
"219","62174","sv",4,TRUE
"220","62174","mbc",4,TRUE
"221","73641","mv",4,TRUE
"222","73641","cav",1,TRUE
"223","73641","sv",3,TRUE
"224","73641","mbc",0,TRUE
"225","58578","mv",0,TRUE
"226","58578","cav",3,TRUE
"227","58578","sv",3,TRUE
"228","58578","mbc",4,TRUE
"229","46138","mv",3,TRUE
"230","46138","cav",3,TRUE
"231","46138","sv",4,TRUE
"232","46138","mbc",2,TRUE
"233","39244","mv",1,TRUE
"234","39244","cav",3,TRUE
"235","39244","sv",3,TRUE
"236","39244","mbc",1,TRUE
"237","77849","mv",1,TRUE
"238","77849","cav",3,TRUE
"239","77849","sv",4,TRUE
"240","77849","mbc",4,TRUE
"241","NobleInfinity","mv",3,TRUE
"242","NobleInfinity","cav",4,TRUE
"243","NobleInfinity","sv",4,TRUE
"244","NobleInfinity","mbc",2,TRUE
"245","38641","mv",1,TRUE
"246","38641","cav",2,TRUE
"247","38641","sv",4,TRUE
"248","38641","mbc",3,TRUE
"249","48339","mv",3,TRUE
"250","48339","cav",4,TRUE
"251","48339","sv",2,TRUE
"252","48339","mbc",1,TRUE
"253","59233","mv",1,TRUE
"254","59233","cav",4,TRUE
"255","59233","sv",4,TRUE
"256","59233","mbc",3,TRUE
"257","39175","mv",3,TRUE
"258","39175","cav",0,TRUE
"259","39175","sv",1,TRUE
"260","39175","mbc",3,TRUE
"261","91788","mv",0,TRUE
"262","91788","cav",4,TRUE
"263","91788","sv",3,TRUE
"264","91788","mbc",3,TRUE
"265","62889","mv",3,TRUE
"266","62889","cav",4,TRUE
"267","62889","sv",4,TRUE
"268","62889","mbc",3,TRUE
"269","13178","mv",3,TRUE
"270","13178","cav",2,TRUE
"271","13178","sv",2,TRUE
"272","13178","mbc",2,TRUE
"273","39544","mv",0,TRUE
"274","39544","cav",0,TRUE
"275","39544","sv",0,TRUE
"276","39544","mbc",0,TRUE
"277","51286","mv",2,TRUE
"278","51286","cav",3,TRUE
"279","51286","sv",4,TRUE
"280","51286","mbc",4,TRUE
"281","53469","mv",1,TRUE
"282","53469","cav",3,TRUE
"283","53469","sv",4,TRUE
"284","53469","mbc",3,TRUE
"285","43395","mv",0,TRUE
"286","43395","cav",4,TRUE
"287","43395","sv",4,TRUE
"288","43395","mbc",0,TRUE
"289","52478","mv",0,TRUE
"290","52478","cav",1,TRUE
"291","52478","sv",2,TRUE
"292","52478","mbc",4,TRUE
"293","11899","mv",1,TRUE
"294","11899","cav",2,TRUE
"295","11899","sv",4,TRUE
"296","11899","mbc",3,TRUE
"297","44379","mv",3,TRUE
"298","44379","cav",3,TRUE
"299","44379","sv",4,TRUE
"300","44379","mbc",4,TRUE
"301","35244","mv",2,TRUE
"302","35244","cav",4,TRUE
"303","35244","sv",4,TRUE
"304","35244","mbc",4,TRUE
"305","37322","mv",1,TRUE
"306","37322","cav",3,TRUE
"307","37322","sv",4,TRUE
"308","37322","mbc",3,TRUE
"309","38782","mv",2,TRUE
"310","38782","cav",2,TRUE
"311","38782","sv",3,TRUE
"312","38782","mbc",4,TRUE
"313","75722","mv",1,TRUE
"314","75722","cav",2,TRUE
"315","75722","sv",1,TRUE
"316","75722","mbc",1,TRUE
"317","34122","mv",1,TRUE
"318","34122","cav",3,TRUE
"319","34122","sv",4,TRUE
"320","34122","mbc",2,TRUE
"321","anugrahilahi","mv",1,TRUE
"322","anugrahilahi","cav",3,TRUE
"323","anugrahilahi","sv",2,TRUE
"324","anugrahilahi","mbc",1,TRUE
"325","81193","mv",4,TRUE
"326","81193","cav",4,TRUE
"327","81193","sv",1,TRUE
"328","81193","mbc",3,TRUE
"329","82627","mv",1,TRUE
"330","82627","cav",2,TRUE
"331","82627","sv",4,TRUE
"332","82627","mbc",3,TRUE
"333","89132","mv",4,TRUE
"334","89132","cav",4,TRUE
"335","89132","sv",4,TRUE
"336","89132","mbc",4,TRUE
"337","34745","mv",0,TRUE
"338","34745","cav",0,TRUE
"339","34745","sv",4,TRUE
"340","34745","mbc",4,TRUE
"341","88886","mv",1,TRUE
"342","88886","cav",3,TRUE
"343","88886","sv",4,TRUE
"344","88886","mbc",4,TRUE
"345","25231","mv",2,TRUE
"346","25231","cav",2,TRUE
"347","25231","sv",2,TRUE
"348","25231","mbc",2,TRUE
"349","87942","mv",0,TRUE
"350","87942","cav",3,TRUE
"351","87942","sv",4,TRUE
"352","87942","mbc",1,TRUE
"353","71136","mv",1,TRUE
"354","71136","cav",1,TRUE
"355","71136","sv",4,TRUE
"356","71136","mbc",3,TRUE
"357","39578","mv",1,TRUE
"358","39578","cav",3,TRUE
"359","39578","sv",1,TRUE
"360","39578","mbc",2,TRUE
"361","66983","mv",2,TRUE
"362","66983","cav",2,TRUE
"363","66983","sv",2,TRUE
"364","66983","mbc",2,TRUE
"365","64887","mv",0,TRUE
"366","64887","cav",4,TRUE
"367","64887","sv",4,TRUE
"368","64887","mbc",4,TRUE
"369","18317","mv",3,TRUE
"370","18317","cav",4,TRUE
"371","18317","sv",4,TRUE
"372","18317","mbc",3,TRUE
"373","59262","mv",1,TRUE
"374","59262","cav",3,TRUE
"375","59262","sv",4,TRUE
"376","59262","mbc",1,TRUE
"377","21187","mv",1,TRUE
"378","21187","cav",2,TRUE
"379","21187","sv",3,TRUE
"380","21187","mbc",4,TRUE
"381","29228","mv",3,TRUE
"382","29228","cav",4,TRUE
"383","29228","sv",4,TRUE
"384","29228","mbc",4,TRUE
"385","91984","mv",3,TRUE
"386","91984","cav",3,TRUE
"387","91984","sv",1,TRUE
"388","91984","mbc",1,TRUE
"389","27417","mv",1,TRUE
"390","27417","cav",3,TRUE
"391","27417","sv",1,TRUE
"392","27417","mbc",3,TRUE
"393","71153","mv",0,TRUE
"394","71153","cav",1,TRUE
"395","71153","sv",4,TRUE
"396","71153","mbc",3,TRUE
"397","35335","mv",2,TRUE
"398","35335","cav",3,TRUE
"399","35335","sv",3,TRUE
"400","35335","mbc",3,TRUE
"401","98378","mv",2,TRUE
"402","98378","cav",3,TRUE
"403","98378","sv",4,TRUE
"404","98378","mbc",3,TRUE
"405","61149","mv",1,TRUE
"406","61149","cav",3,TRUE
"407","61149","sv",4,TRUE
"408","61149","mbc",1,TRUE
"409","57815","mv",3,TRUE
"410","57815","cav",0,TRUE
"411","57815","sv",2,TRUE
"412","57815","mbc",0,TRUE
"413","63891","mv",2,TRUE
"414","63891","cav",3,TRUE
"415","63891","sv",4,TRUE
"416","63891","mbc",4,TRUE
"417","14757","mv",4,TRUE
"418","14757","cav",3,TRUE
"419","14757","sv",1,TRUE
"420","14757","mbc",2,TRUE
"421","75684","mv",2,TRUE
"422","75684","cav",3,TRUE
"423","75684","sv",4,TRUE
"424","75684","mbc",1,TRUE
"425","13586","mv",0,TRUE
"426","13586","cav",4,TRUE
"427","13586","sv",3,TRUE
"428","13586","mbc",1,TRUE
"429","62516","mv",4,TRUE
"430","62516","cav",0,TRUE
"431","62516","sv",4,TRUE
"432","62516","mbc",3,TRUE
"433","64378","mv",1,TRUE
"434","64378","cav",2,TRUE
"435","64378","sv",3,TRUE
"436","64378","mbc",4,TRUE
"437","61785","mv",4,TRUE
"438","61785","cav",4,TRUE
"439","61785","sv",4,TRUE
"440","61785","mbc",4,TRUE
"441","49144","mv",4,TRUE
"442","49144","cav",4,TRUE
"443","49144","sv",4,TRUE
"444","49144","mbc",4,TRUE
"445","27234","mv",3,TRUE
"446","27234","cav",4,TRUE
"447","27234","sv",4,TRUE
"448","27234","mbc",3,TRUE
"449","23674","mv",0,TRUE
"450","23674","cav",1,TRUE
"451","23674","sv",4,TRUE
"452","23674","mbc",3,TRUE
"453","49777","mv",0,TRUE
"454","49777","cav",4,TRUE
"455","49777","sv",4,TRUE
"456","49777","mbc",3,TRUE
"457","22663","mv",2,TRUE
"458","22663","cav",3,TRUE
"459","22663","sv",4,TRUE
"460","22663","mbc",1,TRUE
"461","61287","mv",1,TRUE
"462","61287","cav",2,TRUE
"463","61287","sv",3,TRUE
"464","61287","mbc",4,TRUE
"465","42993","mv",1,TRUE
"466","42993","cav",0,TRUE
"467","42993","sv",4,TRUE
"468","42993","mbc",3,TRUE
"469","12452","mv",0,TRUE
"470","12452","cav",4,TRUE
"471","12452","sv",2,TRUE
"472","12452","mbc",1,TRUE
"473","42331","mv",1,TRUE
"474","42331","cav",2,TRUE
"475","42331","sv",1,TRUE
"476","42331","mbc",3,TRUE
"477","69119","mv",3,TRUE
"478","69119","cav",2,TRUE
"479","69119","sv",2,TRUE
"480","69119","mbc",3,TRUE
